"Reference","Value","Qty","Footprint","Assembly","Supplier","Supplier no.","Accept alternative part","Datasheet","URL"
"CON201","Conn_01x04_Pin","1","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","NO","GME","800-170","~","https://img.gme.cz/files/eshop_data/eshop_data/5/800-170/dsh.800-170.1.pdf","https://www.gme.cz/v/1497969/kls-psh02-04pg-konektor-vidlice-roztec-254mm-1x4piny-prima-do-dps"
"CON202,CON203","Conn_01x03_Pin","2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","NO","GME","800-164","~","https://img.gme.cz/files/eshop_data/eshop_data/5/800-164/dsh.800-164.1.pdf","https://www.gme.cz/v/1497964/kls-psh02-03pg-konektor-vidlice-roztec-254mm-1x3piny-prima-do-dps"
"CON204","Conn_01x02_Pin","1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","NO","GME","800-163","~","https://img.gme.cz/files/eshop_data/eshop_data/5/800-163/dsh.800-163.1.pdf","https://www.gme.cz/v/1497299/kls-psh02-02pg-konektor-vidlice-roztec-254mm-1x2piny-prima-do-dps"
"F201","BSMD0603-025-12V","1","Fuse:Fuse_0603_1608Metric","YES","LCSC","C2977520","YES","https://www.lcsc.com/datasheet/lcsc_datasheet_2305121425_BHFUSE-BSMD0603-025-12V_C2977520.pdf","https://www.lcsc.com/product-detail/Resettable-Fuses_BHFUSE-BSMD0603-025-12V_C2977520.html"
"Q201","2N7002,215","1","Package_TO_SOT_SMD:SOT-23","YES","LCSC","C65189","YES","https://www.lcsc.com/datasheet/lcsc_datasheet_2407241045_Nexperia-2N7002-215_C65189.pdf","https://www.lcsc.com/product-detail/MOSFETs_Nexperia-2N7002-215_C65189.html"
"Q202","IRFR9024N","1","Package_TO_SOT_SMD:TO-252-2","YES","LCSC","C2585","YES","https://www.lcsc.com/datasheet/lcsc_datasheet_2312271256_Infineon-Technologies-IRFR9024NTRPBF_C2585.pdf","https://www.lcsc.com/product-detail/MOSFETs_Infineon-Technologies-IRFR9024NTRPBF_C2585.html"
"R201","10K","1","Resistor_SMD:R_0603_1608Metric","YES","PCBWAY","~","~","~","~"
