"Reference","Value","Datasheet","Footprint","Qty","URL","Supplier","Supplier no.","Assemble"
"CON1","USB_B","https://img.gme.cz/files/eshop_data/eshop_data/9/832-213/dsh.832-213.1.pdf","Connector_USB:USB_B_TE_5787834_Vertical","1","https://www.gme.cz/v/1502411/connfly-ds1099-01-wn0-konektor-usb-b-20","GME","832-213","NO"
"J1","Conn_01x04","https://img.gme.cz/files/eshop_data/eshop_data/5/800-170/dsh.800-170.1.pdf","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","https://www.gme.cz/v/1497969/kls-psh02-04pg-konektor-vidlice-roztec-254mm-1x4piny-prima-do-dps","GME","800-170","NO"
