Ref,Val,Package,PosX,PosY,Rot,Side
"CON1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Horizontal",126.756000,-114.103000,90.000000,top
"CON2","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Horizontal",107.203000,-114.103000,90.000000,top
"CON3","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Horizontal",134.000000,-127.000000,-90.000000,top
"CON4","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Horizontal",111.000000,-127.000000,-90.000000,top
"F1","BSMD0603-025-12V","Fuse_0603_1608Metric",121.750000,-110.750000,180.000000,top
"Q1","2N7002,215","SOT-23",121.158000,-114.554000,90.000000,top
"Q2","IRFR9024N","TO-252-2",119.888000,-123.200000,-90.000000,top
"R1","10K","R_0603_1608Metric",118.364000,-114.300000,-90.000000,top
